Package,Declaring class,Method,Params,CC
org.apache.commons.cli,PatternOptionBuilder,getValueType,"(char ch)",18
org.apache.commons.cli,OptionValidatorTest,setup,"()",15
org.apache.commons.cli.help,TextHelpAppendable,adjustTableFormat,"(TableDefinition table)",9
org.apache.commons.cli,OptionValidatorTest,optionParameters,"()",9
org.apache.commons.cli.help,TextStyle,pad,"(boolean addIndent, CharSequence text)",8
org.apache.commons.cli.bug,BugsTest,test11458,"()",8
org.apache.commons.cli,Parser,parse,"(Options options, String[] arguments, Properties properties, boolean stopAtNonOption)",7
org.apache.commons.cli,Parser,processArgs,"(Option opt, ListIterator<String> iter)",7
org.apache.commons.cli,HelpFormatter,appendOptions,"(A sb, int width, Options options, int leftPad, int descPad)",5
org.apache.commons.cli.help,TextHelpAppendable,indexOfWrap,"(CharSequence text, int width, int startPos)",5
org.apache.commons.cli.help,TextHelpAppendable,appendTable,"(TableDefinition rawTable)",5
org.apache.commons.cli.help,TextHelpAppendable,writeColumnQueues,"(List<Queue<String>> columnQueues, List<TextStyle> styles)",5
org.apache.commons.cli,OptionValidatorTest,testExclusivity,"()",5
org.apache.commons.cli.help,TextHelpAppendableTest,testAppendList,"()",5
org.apache.commons.cli.help,UtilTest,charArgs,"()",5
org.apache.commons.cli,AmbiguousOptionException,createMessage,"(String option, Collection<String> matchingOptions)",3
org.apache.commons.cli,CommandLine,getOptionObject,"(String opt)",3
org.apache.commons.cli,CommandLine,getOptionProperties,"(Option option)",3
org.apache.commons.cli,CommandLine,getOptionProperties,"(String opt)",3
org.apache.commons.cli,CommandLine,getOptionValues,"(Option option)",3
org.apache.commons.cli,CommandLine,getParsedOptionValue,"(Option option, Supplier<T> defaultValue)",3
org.apache.commons.cli,CommandLine,processPropertiesFromValues,"(Properties props, List<String> values)",3
org.apache.commons.cli,DefaultParser,getLongPrefix,"(String token)",3
org.apache.commons.cli,DefaultParser,handleConcatenatedOptions,"(String token)",3
org.apache.commons.cli,DefaultParser,handleProperties,"(Properties properties)",3
org.apache.commons.cli,DefaultParser,isNegativeNumber,"(String token)",3
org.apache.commons.cli,DefaultParser,parse,"(Options options, String[] arguments, Properties properties, boolean stopAtNonOption)",3
org.apache.commons.cli,GnuParser,flatten,"(Options options, String[] arguments, boolean stopAtNonOption)",3
org.apache.commons.cli,HelpFormatter,appendOptionGroup,"(StringBuilder buff, OptionGroup group)",3
org.apache.commons.cli,HelpFormatter,appendWrappedText,"(A appendable, int width, int nextLineTabStop, String text)",3
org.apache.commons.cli,HelpFormatter,findWrapPos,"(String text, int width, int startPos)",3
org.apache.commons.cli,HelpFormatter,printOptions,"(PrintWriter pw, int width, Options options, int leftPad, int descPad)",3
org.apache.commons.cli,HelpFormatter,printUsage,"(PrintWriter pw, int width, String app, Options options)",3
org.apache.commons.cli,HelpFormatter,renderOptions,"(StringBuffer sb, int width, Options options, int leftPad, int descPad)",3
org.apache.commons.cli,HelpFormatter,renderWrappedText,"(StringBuffer sb, int width, int nextLineTabStop, String text)",3
org.apache.commons.cli,HelpFormatter,renderWrappedTextBlock,"(A appendable, int width, int nextLineTabStop, String text)",3
org.apache.commons.cli,HelpFormatter,rtrim,"(String s)",3
org.apache.commons.cli,MissingOptionException,createMessage,"(List<?> missingOptions)",3
org.apache.commons.cli,Option,clone,"()",3
org.apache.commons.cli,OptionGroup,toString,"()",3
org.apache.commons.cli,OptionValidator,search,"(char[] chars, char c)",3
org.apache.commons.cli,Options,addOptionGroup,"(OptionGroup group)",3
org.apache.commons.cli,Options,addOptions,"(Options options)",3
