Package,Declaring class,Method,Params,CC
org.apache.commons.math4.legacy.analysis.interpolation,TricubicInterpolatingFunctionTest,testPreconditions,"()",55
org.apache.commons.math4.legacy.core.jdkmath,AccurateMathTest,testIntPowSpecialCases,"()",49
org.apache.commons.math4.legacy.core.jdkmath,AccurateMathTest,testPowAllSpecialCases,"()",47
org.apache.commons.math4.legacy.linear,BlockFieldMatrixTest,testSeveralBlocks,"()",45
org.apache.commons.math4.legacy.linear,BlockRealMatrixTest,testSeveralBlocks,"()",45
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,BOBYQAOptimizer,altmov,"(int knew, double adelt)",33
org.apache.commons.math4.legacy.analysis.interpolation,BicubicInterpolatingFunctionTest,testMatchingPartialDerivatives,"()",31
org.apache.commons.math4.legacy.fitting.leastsquares,LevenbergMarquardtOptimizer,determineLMParameter,"(double[] qy, double delta, double[] diag, InternalData internalData, int solvedCols, double[] work1, double[] work2, double[] work3, double[] lmDir, double lmPar)",29
org.apache.commons.math4.legacy.stat.inference,WilcoxonSignedRankTestTest,testWilcoxonSignedRankInputValidation,"()",29
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,doTestEbeBinaryOperation,"(BinaryOperation op, boolean mixed, boolean ignoreSpecial)",27
org.apache.commons.math4.legacy.core.dfp,DfpDec,round,"(int in)",24
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,BOBYQAOptimizer,bobyqb,"(double[] lowerBound, double[] upperBound)",24
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,BOBYQAOptimizer,trsbox,"(double delta, ArrayRealVector gnew, ArrayRealVector xbdi, ArrayRealVector s, ArrayRealVector hs, ArrayRealVector hred)",24
org.apache.commons.math4.legacy.distribution.fitting,MultivariateNormalMixtureExpectationMaximization,fit,"(MixtureMultivariateNormalDistribution initialMixture, int maxIterations, double threshold)",23
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealMatrix b)",23
org.apache.commons.math4.legacy.stat.regression,SimpleRegressionTest,testRegressExceptions,"()",23
org.apache.commons.math4.legacy.analysis.interpolation,BicubicInterpolatingFunctionTest,testPreconditions,"()",21
